City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Lubao,14.9167,120.55,87.51,75,100,0.96,PH,2022-08-02 02:48:35
190,Berlevag,70.8578,29.0864,55.2,93,20,2.3,NO,2022-08-02 02:47:00
191,Ocos,14.5094,-92.1933,82.56,79,15,3.06,GT,2022-08-02 02:48:36
192,Borovoy,55.4333,86.0833,60.08,82,40,6.71,RU,2022-08-02 02:48:36
193,Merritt Island,28.5392,-80.672,84.09,81,0,8.05,US,2022-08-02 02:44:12
194,Codajas,-3.8367,-62.0569,73.26,96,79,1.88,BR,2022-08-02 02:48:37
195,Grindavik,63.8424,-22.4338,46.87,81,75,16.11,IS,2022-08-02 02:48:37
196,Nikolskoye,59.7035,30.7861,65.88,97,100,9.01,RU,2022-08-02 02:45:39
197,Dhidhdhoo,6.8833,73.1,81.0,75,100,23.47,MV,2022-08-02 02:48:38
198,Port Elizabeth,-33.918,25.5701,49.32,84,0,2.3,ZA,2022-08-02 02:48:39
199,Toyooka,35.5333,134.8333,93.25,58,75,3.44,JP,2022-08-02 02:48:39
200,Mayumba,-3.432,10.6554,69.15,93,83,4.63,GA,2022-08-02 02:48:39
201,Codrington,-38.2667,141.9667,57.09,63,100,20.47,AU,2022-08-02 02:48:40
202,Bundaberg,-24.85,152.35,72.21,71,98,1.99,AU,2022-08-02 02:46:31
203,Belmonte,-15.8631,-38.8828,70.86,88,47,4.56,BR,2022-08-02 02:48:40
204,Benguela,-12.5763,13.4055,62.2,88,14,1.92,AO,2022-08-02 02:48:41
205,Thompson,55.7435,-97.8558,62.76,67,40,0.0,CA,2022-08-02 02:48:41
206,Ancud,-41.8697,-73.8203,42.22,83,5,3.44,CL,2022-08-02 02:48:42
207,Mitu,1.1983,-70.1733,72.21,98,100,0.4,CO,2022-08-02 02:48:42
208,Tres Arroyos,-38.3739,-60.2798,52.16,73,100,7.25,AR,2022-08-02 02:48:42
209,Ponta Delgada,37.7333,-25.6667,66.92,88,20,2.3,PT,2022-08-02 02:48:43
210,Calvinia,-31.4707,19.776,52.79,67,99,6.35,ZA,2022-08-02 02:48:43
211,Bonavista,48.6499,-53.1147,61.56,90,100,5.1,CA,2022-08-02 02:48:44
212,Moussoro,13.6408,16.4901,74.03,84,95,7.09,TD,2022-08-02 02:48:44
213,Krasne,49.9145,24.6134,55.72,93,77,3.42,UA,2022-08-02 02:48:44
214,Fortuna,40.5982,-124.1573,65.93,77,20,9.22,US,2022-08-02 02:45:46
215,Thurles,52.6819,-7.8022,65.82,96,100,12.01,IE,2022-08-02 02:48:45
216,Sur,22.5667,59.5289,87.84,63,13,3.47,OM,2022-08-02 02:48:45
217,Churapcha,62.0025,132.4325,63.68,89,100,10.36,RU,2022-08-02 02:48:46
218,Tateyama,34.9833,139.8667,84.47,81,100,15.97,JP,2022-08-02 02:48:46
219,Soe,-9.8607,124.284,80.02,45,100,5.61,ID,2022-08-02 02:48:47
220,Sitka,57.0531,-135.33,58.89,82,100,6.91,US,2022-08-02 02:48:47
221,Tiksi,71.6872,128.8694,45.54,78,97,3.13,RU,2022-08-02 02:48:48
222,Morondava,-20.2833,44.2833,73.38,53,0,14.0,MG,2022-08-02 02:48:48
223,Longyearbyen,78.2186,15.6401,49.84,81,75,5.75,SJ,2022-08-02 02:48:49
224,Morgan City,29.6994,-91.2068,77.0,85,98,5.28,US,2022-08-02 02:48:49
225,Khandyga,62.6667,135.6,66.67,79,100,2.19,RU,2022-08-02 02:48:50
226,Taguatinga,-12.3857,-46.5711,76.95,31,25,6.08,BR,2022-08-02 02:48:50
227,Alta Floresta,-9.8756,-56.0861,73.51,38,50,3.76,BR,2022-08-02 02:49:50
228,Saurimo,-9.6608,20.3916,63.39,47,0,1.45,AO,2022-08-02 02:49:51
229,Gizo,-8.103,156.8419,85.98,60,17,6.15,SB,2022-08-02 02:49:51
230,Redwater,33.3582,-94.2544,84.49,61,90,5.79,US,2022-08-02 02:49:52
231,Natal,-5.795,-35.2094,79.02,78,75,8.05,BR,2022-08-02 02:49:52
232,Vostok,46.4856,135.8833,79.02,58,97,7.14,RU,2022-08-02 02:49:52
233,Berekum,7.4534,-2.584,67.28,97,97,5.08,GH,2022-08-02 02:49:53
234,Solnechnyy,50.7214,136.6319,75.04,81,55,3.78,RU,2022-08-02 02:49:53
235,Kapiri Mposhi,-13.9652,28.6809,52.79,73,0,7.27,ZM,2022-08-02 02:49:54
236,San Quintin,30.4833,-115.95,71.4,78,0,9.37,MX,2022-08-02 02:49:54
