City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Barcelona,ES,86.61,few clouds,41.3888,2.159,Axel Hotel Barcelona
292,Sola,VU,81.3,clear sky,-13.8833,167.55,Leumerus Bungalows
295,Passo De Camaragibe,BR,74.75,overcast clouds,-9.2368,-35.4901,Chácara vovó candinha
298,Kaohsiung,TW,84.15,scattered clouds,22.6163,120.3133,御宿商旅-中山館
299,Katsuura,JP,80.67,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
300,Fare,PF,78.4,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
302,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
303,Guerrero Negro,MX,80.96,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
305,Manggar,ID,80.1,overcast clouds,-2.8833,108.2667,Guest Hotel
307,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
308,Nador,MA,80.67,clear sky,35.174,-2.9287,Hôtel La Giralda
309,Fallon,US,95.92,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
314,Dawei,MM,76.05,overcast clouds,14.0833,98.2,Hotel Dawei
315,Cacu,BR,83.25,clear sky,-18.5567,-51.1308,Império Hotel
319,Pouembout,NC,73.42,overcast clouds,-21.1333,164.9,Camping de Tipenga
322,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
323,La Rioja,ES,78.58,broken clouds,42.25,-2.5,Casa Concejos
324,Sindgi,IN,78.69,moderate rain,16.9167,76.2333,Sasabal
325,Rosignano Marittimo,IT,81.54,clear sky,43.4079,10.4729,Hotel Elba
326,Pontes E Lacerda,BR,94.08,broken clouds,-15.2261,-59.3353,Hotel Bressan
327,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
328,Changchun,CN,75.16,broken clouds,43.88,125.3228,金安大酒店
329,Sinnamary,GF,80.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
331,Kinkala,CG,78.01,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
334,Mabaruma,GY,78.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
335,Winnemucca,US,88.07,scattered clouds,40.973,-117.7357,Winners Inn Casino
336,Kahului,US,82.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
338,Great Yarmouth,GB,77.25,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
341,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Wanning,CN,81.0,overcast clouds,18.8003,110.3967,Paradise Hotel
344,Bermeo,ES,73.6,clear sky,43.4209,-2.7215,Eco-Hotel Mundaka
345,Yinchuan,CN,79.93,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
346,Vilhena,BR,88.02,clear sky,-12.7406,-60.1458,Hotel Mirage
347,Hyeres,FR,79.41,few clouds,43.1167,6.1167,ibis budget Hyères Centre-Ville
348,Rasht,IR,76.82,few clouds,37.2808,49.5832,Travellers Camping
349,San Andres,CO,80.62,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
350,Dongkan,CN,77.72,clear sky,33.9997,119.8308,Triumphal Resort
352,Hami,CN,71.89,broken clouds,42.8,93.45,Laoyutang Resort
356,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
358,Hohhot,CN,70.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
359,Kuntaur,GM,79.75,overcast clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
360,Chippewa Falls,US,88.57,scattered clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
361,Hobyo,SO,75.9,clear sky,5.3505,48.5268,Iftin hotel hobyo
362,Port Angeles,US,71.31,clear sky,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
363,Ninh Binh,VN,79.45,overcast clouds,20.2539,105.975,Kinh Do Hotel
364,Pemberton,CA,82.09,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
366,Fortuna,US,73.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
368,Fukue,JP,81.18,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
369,Cadillac,US,78.71,clear sky,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
370,Shubarkuduk,KZ,71.47,clear sky,49.1447,56.4872,Sirius
374,Carutapera,BR,78.96,heavy intensity rain,-1.195,-46.02,Lidera
376,San-Pedro,CI,75.15,overcast clouds,4.7485,-6.6363,Hotel Maria
379,Puerto Madero,MX,86.4,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
380,Redmond,US,83.7,clear sky,47.674,-122.1215,Seattle Marriott Redmond
381,Lumsden,CA,79.75,scattered clouds,50.6501,-104.8678,Lumsden Hotel & Steak Pit
382,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
387,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
389,Solihull,GB,70.09,scattered clouds,52.4143,-1.7809,Premier Inn Solihull Town Centre hotel
394,Powell River,CA,74.08,broken clouds,49.8496,-124.5361,Rodmay Hotel
397,Veraval,IN,82.04,overcast clouds,20.9,70.3667,Lords Inn Somnath
399,Hamilton,US,89.94,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
402,Inirida,CO,75.63,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
405,Pemangkat,ID,77.0,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
409,Aguimes,ES,75.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
411,Awbari,LY,92.26,scattered clouds,26.5921,12.7805,فندق أوباري
412,Kandrian,PG,79.3,broken clouds,-6.2167,149.55,Kandrian Station
415,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
