City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Puerto Del Rosario,ES,28.5004,-13.8627,80.35,61,20,12.66,few clouds
127,Rajshahi,BD,24.3667,88.6,82.26,83,100,3.04,overcast clouds
128,Tobermory,CA,45.2501,-81.6665,64.96,74,7,9.08,clear sky
129,Nuuk,GL,64.1835,-51.7216,49.87,81,95,11.01,overcast clouds
130,Te Anau,NZ,-45.4167,167.7167,45.23,91,97,7.4,overcast clouds
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,84,44,11.65,scattered clouds
132,Lompoc,US,34.6391,-120.4579,94.01,68,40,9.22,scattered clouds
133,Lagoa,PT,39.05,-27.9833,74.32,82,3,15.32,clear sky
134,Buala,SB,-8.145,159.5921,81.09,79,31,8.5,light rain
135,Magistralnyy,RU,56.1725,107.4458,61.59,94,100,13.58,moderate rain
136,Nikolskoye,RU,59.7035,30.7861,62.8,91,65,4.07,broken clouds
137,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
138,Salalah,OM,17.0151,54.0924,77.18,92,96,3.74,moderate rain
139,Kyren,RU,51.6828,102.1408,59.79,95,100,0.76,overcast clouds
140,Teguise,ES,29.0605,-13.564,71.82,78,20,24.16,few clouds
141,Soroti,UG,1.7146,33.6111,62.74,92,62,3.58,broken clouds
142,Somotillo,NI,13.0433,-86.9064,89.74,53,97,10.4,light rain
143,Khatanga,RU,71.9667,102.5,43.66,72,100,5.46,overcast clouds
144,Andros Town,BS,24.7,-77.7667,89.56,69,9,11.7,clear sky
145,Seymchan,RU,62.8833,152.4333,65.8,63,100,8.68,overcast clouds
146,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,5.75,broken clouds
147,Yaransk,RU,57.3033,47.8861,65.39,71,100,5.95,overcast clouds
148,Hualmay,PE,-11.0964,-77.6139,65.43,72,10,12.55,clear sky
149,Sitka,US,57.0531,-135.33,55.29,88,100,5.75,light rain
150,Hilo,US,19.7297,-155.09,78.62,93,100,4.61,heavy intensity rain
151,Taltal,CL,-25.4,-70.4833,56.91,77,20,3.49,few clouds
152,Bodmin,GB,50.4715,-4.7243,66.43,94,75,11.5,broken clouds
153,Coquimbo,CL,-29.9533,-71.3436,55.13,76,100,5.75,overcast clouds
154,Belaya Gora,RU,68.5333,146.4167,51.93,88,100,8.21,light rain
155,Cidreira,BR,-30.1811,-50.2056,60.44,88,28,9.33,scattered clouds
156,Sulangan,PH,11.1373,123.7228,82.85,74,32,4.92,scattered clouds
157,Namatanai,PG,-3.6667,152.4333,79.75,76,30,8.93,scattered clouds
158,Mapiri,BO,-15.25,-68.1667,79.03,66,88,2.3,overcast clouds
159,Hirara,JP,24.8,125.2833,83.93,76,4,12.66,clear sky
160,Praia,CV,14.9215,-23.5087,81.14,74,20,5.75,few clouds
161,Sao Filipe,CV,14.8961,-24.4956,78.33,80,76,5.53,light rain
162,Haines Junction,CA,60.7522,-137.5108,53.55,87,100,2.3,overcast clouds
163,Dezful,IR,32.3811,48.4058,102.56,27,4,1.7,clear sky
164,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,40,0,11.5,clear sky
165,Tiksi,RU,71.6872,128.8694,40.12,82,100,3.22,overcast clouds
166,Narsaq,GL,60.9167,-46.05,51.35,66,51,5.37,broken clouds
167,Hofn,IS,64.2539,-15.2082,50.7,68,41,12.12,scattered clouds
168,Ivanava,BY,52.1451,25.5365,60.01,84,0,6.89,clear sky
169,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,73,20,8.84,few clouds
170,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,37,6.08,scattered clouds
171,Soyaux,FR,45.65,0.2,82.99,44,0,5.75,clear sky
172,Beringovskiy,RU,63.05,179.3167,56.34,65,57,3.31,broken clouds
173,Valdivia,CL,-39.8142,-73.2459,50.09,80,40,1.57,scattered clouds
174,Kotelnich,RU,58.3089,48.348,61.14,77,76,4.59,broken clouds
175,Neftcala,AZ,39.3742,49.2472,78.66,71,2,5.3,clear sky
176,Uruguaiana,BR,-29.7547,-57.0883,66.13,82,100,8.05,overcast clouds
177,Limbang,MY,4.75,115.0,77.11,98,100,1.95,overcast clouds
178,Santa Fe,AR,-31.6333,-60.7,62.42,62,98,7.76,light rain
179,Southbridge,US,42.0751,-72.0334,89.46,78,80,8.95,broken clouds
180,Taoudenni,ML,22.6783,-3.9836,106.59,10,31,1.36,scattered clouds
181,Madimba,TZ,-10.4,40.3333,70.5,88,0,7.74,clear sky
182,Conde,BR,-7.2597,-34.9075,76.46,88,0,5.75,clear sky
183,Mehran,IR,33.1222,46.1646,101.62,15,0,5.59,clear sky
184,Itapicuru,BR,-11.3167,-38.2333,72.9,70,4,11.79,clear sky
185,Omboue,GA,-1.5746,9.2618,72.7,85,89,6.04,overcast clouds
186,Georgetown,MY,5.4112,100.3354,78.73,93,40,7.0,moderate rain
187,Esperance,AU,-33.8667,121.9,48.04,66,36,33.04,scattered clouds
188,College,US,64.8569,-147.8028,64.38,81,75,5.75,broken clouds
189,Iqaluit,CA,63.7506,-68.5145,51.53,66,75,5.75,broken clouds
190,Provideniya,RU,64.3833,-173.3,53.71,76,0,2.24,clear sky
191,Honiara,SB,-9.4333,159.95,80.67,76,9,6.69,clear sky
192,Kudahuvadhoo,MV,2.6708,72.8944,81.12,76,100,18.59,overcast clouds
193,Kilembe,UG,0.2,30.0,60.67,90,86,2.33,overcast clouds
194,Ous,RU,60.9058,61.5186,56.1,71,31,1.74,scattered clouds
195,Kendari,ID,-3.945,122.4989,72.39,94,83,2.33,broken clouds
196,Bremerton,US,47.5673,-122.6326,81.34,60,40,5.75,scattered clouds
197,Saldanha,ZA,-33.0117,17.9442,55.45,90,31,10.22,scattered clouds
198,Kinshasa,CD,-4.3246,15.3215,81.34,48,100,4.03,overcast clouds
199,Traralgon,AU,-38.1833,146.5333,57.36,63,100,8.79,overcast clouds
200,Sutton Coldfield,GB,52.5667,-1.8167,71.2,83,40,9.22,scattered clouds
201,Camacupa,AO,-12.0167,17.4833,67.6,34,3,5.64,clear sky
202,Svetlyy,RU,54.675,20.1347,51.85,74,100,3.69,overcast clouds
203,Rio Grande,BR,-32.035,-52.0986,59.11,91,33,6.93,scattered clouds
204,Altay,CN,47.8667,88.1167,61.3,55,17,5.21,few clouds
205,Namibe,AO,-15.1961,12.1522,59.61,69,3,3.56,clear sky
206,Xicotencatl,MX,23.0167,-98.8833,94.53,39,98,10.51,overcast clouds
207,Quatre Cocos,MU,-20.2078,57.7625,69.91,65,0,11.1,clear sky
208,Doka,SD,13.5167,35.7667,71.87,90,100,6.4,overcast clouds
209,Isangel,VU,-19.55,169.2667,77.92,87,100,6.85,overcast clouds
210,Severo-Yeniseyskiy,RU,60.3725,93.0408,45.93,97,100,2.39,overcast clouds
211,Saint-Francois,FR,46.4154,3.9054,73.67,56,0,2.3,clear sky
212,Vasto,IT,42.1243,14.7059,78.46,52,49,5.01,scattered clouds
213,Coihaique,CL,-45.5752,-72.0662,46.35,57,75,5.75,broken clouds
214,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,94,100,9.22,mist
215,Acarau,BR,-2.8856,-40.12,78.98,79,33,15.68,scattered clouds
216,San Quintin,MX,30.4833,-115.95,77.13,65,67,14.83,broken clouds
217,Westport,US,41.1415,-73.3579,92.08,62,62,7.0,broken clouds
218,Benjamin Constant,BR,-4.3831,-70.0311,87.93,70,40,4.61,light rain
219,Ancud,CL,-41.8697,-73.8203,47.23,84,97,4.03,overcast clouds
220,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,56,8.01,broken clouds
221,Mount Gambier,AU,-37.8333,140.7667,52.75,80,99,16.44,overcast clouds
222,Shelburne,CA,44.0787,-80.2041,72.23,50,2,10.09,clear sky
223,Sur,OM,22.5667,59.5289,89.65,61,2,7.07,clear sky
224,Gaziantep,TR,37.0594,37.3825,80.53,54,0,5.75,clear sky
225,North Bend,US,43.4065,-124.2243,85.24,100,58,10.38,broken clouds
226,Kuruman,ZA,-27.4524,23.4325,48.99,84,97,19.06,light rain
227,Iralaya,HN,15.0,-83.2333,82.76,84,100,15.39,overcast clouds
228,Tuatapere,NZ,-46.1333,167.6833,47.43,84,78,11.88,broken clouds
229,Oster,UA,50.9506,30.8823,61.74,95,98,11.61,overcast clouds
230,Airai,TL,-8.9266,125.4092,55.15,59,45,1.95,scattered clouds
231,Kluczbork,PL,50.9728,18.2182,68.99,78,34,5.84,scattered clouds
232,Lasa,IT,46.6166,10.7002,66.36,82,53,0.92,broken clouds
233,Arti,RU,56.4234,58.5328,53.92,84,1,4.14,clear sky
234,Victoria,HK,22.2855,114.1577,85.32,82,100,5.01,overcast clouds
235,Nyurba,RU,63.2842,118.3319,59.61,75,94,6.91,overcast clouds
236,Nizhniy Bestyakh,RU,61.9594,129.9086,63.88,93,100,6.71,smoke
237,Abu Samrah,SY,35.3029,37.1841,79.12,57,0,9.89,clear sky
238,Kruisfontein,ZA,-34.0033,24.7314,55.02,59,0,2.91,clear sky
239,Chapais,CA,49.7834,-74.8492,64.18,37,29,8.16,scattered clouds
240,North Platte,US,41.1239,-100.7654,104.11,24,94,5.99,overcast clouds
241,Roma,US,43.2128,-75.4557,82.96,65,37,13.0,scattered clouds
242,Emba,KZ,48.8264,58.1442,70.83,54,81,10.63,broken clouds
243,Sartana,UA,47.1744,37.6927,74.05,79,0,4.59,clear sky
244,Hambantota,LK,6.1241,81.1185,77.81,82,100,26.15,overcast clouds
245,Plouzane,FR,48.3833,-4.6167,64.72,97,75,6.91,broken clouds
246,Colon,PA,9.3592,-79.9014,82.45,78,100,8.01,overcast clouds
247,Qaqortoq,GL,60.7167,-46.0333,48.83,74,41,9.6,scattered clouds
248,Maarianhamina,AX,60.0973,19.9348,62.46,88,0,14.97,clear sky
249,Lac Du Bonnet,CA,50.2536,-96.0612,83.23,44,95,13.82,overcast clouds
250,Oistins,BB,13.0667,-59.5333,86.09,66,40,23.02,scattered clouds
251,Peterhead,GB,57.5058,-1.7981,66.6,78,25,11.77,scattered clouds
